voted_for,age_group,gender,education,race,religion
Biden,18-29,Female,Some college,White,Protestant
Biden,45-65,Male,Post-grad,Black,Protestant
Trump,45-65,Female,Some college,White,Protestant
Biden,65+,Female,Post-grad,White,Other
Trump,45-65,Female,High school graduate,Multiracial,Other
Biden,45-65,Male,4-year,White,Atheist
Trump,65+,Male,4-year,White,Protestant
Trump,65+,Male,Post-grad,White,Agnostic
Trump,45-65,Female,Post-grad,White,Protestant
Biden,45-65,Male,Some college,Black,Protestant
Trump,65+,Male,4-year,White,Protestant
Biden,30-44,Female,Some college,Middle Eastern,None
Biden,30-44,Male,Some college,White,Atheist
Biden,30-44,Male,4-year,White,None
Trump,65+,Female,4-year,White,Protestant
Trump,45-65,Female,4-year,White,Protestant
Trump,45-65,Male,2-year,White,Protestant
Biden,65+,Female,2-year,White,Roman Catholic
Trump,45-65,Female,4-year,White,Protestant
Trump,45-65,Male,4-year,Hispanic,Agnostic
Biden,18-29,Female,2-year,White,Protestant
Trump,45-65,Female,2-year,White,Protestant
Biden,45-65,Female,Post-grad,White,Protestant
Trump,30-44,Female,4-year,White,Protestant
Biden,65+,Male,Post-grad,White,Roman Catholic
Trump,65+,Female,High school graduate,White,Other
Trump,65+,Male,High school graduate,Multiracial,Protestant
Biden,65+,Female,4-year,White,Protestant
Biden,45-65,Female,Some college,Black,Protestant
Biden,65+,Female,Some college,White,Protestant
Biden,30-44,Female,4-year,White,Atheist
Trump,45-65,Male,2-year,Asian,Roman Catholic
Biden,18-29,Male,2-year,Black,None
Biden,30-44,Male,Post-grad,White,Atheist
Biden,18-29,Female,4-year,White,Protestant
Biden,45-65,Male,Post-grad,White,Agnostic
Biden,30-44,Female,Some college,Black,Roman Catholic
Biden,65+,Male,High school graduate,White,Protestant
Biden,45-65,Female,2-year,Black,None
Biden,65+,Female,Some college,Black,Protestant
Biden,65+,Male,4-year,White,None
Biden,30-44,Female,Post-grad,White,None
Biden,65+,Female,4-year,Native American,Protestant
Biden,45-65,Female,High school graduate,White,None
Trump,45-65,Female,No HS,White,Other
Trump,65+,Female,High school graduate,White,Roman Catholic
Biden,45-65,Female,2-year,Black,Other
Trump,65+,Female,High school graduate,White,Protestant
Trump,65+,Female,Post-grad,White,Protestant
Biden,45-65,Female,4-year,White,Other
Biden,45-65,Female,Some college,Black,Protestant
Trump,30-44,Male,2-year,White,Protestant
Biden,65+,Female,Post-grad,White,Protestant
Biden,65+,Male,4-year,White,Protestant
Trump,45-65,Male,2-year,White,Roman Catholic
Trump,65+,Male,High school graduate,White,Roman Catholic
Biden,45-65,Male,Some college,White,Other
Biden,65+,Female,High school graduate,White,Protestant
Trump,65+,Male,4-year,White,Protestant
Biden,45-65,Female,2-year,Black,Agnostic
Biden,30-44,Female,High school graduate,White,None
Biden,18-29,Female,Some college,White,Agnostic
Biden,45-65,Female,Some college,Black,Protestant
Biden,45-65,Male,4-year,Black,Roman Catholic
Biden,45-65,Female,Some college,White,Other
Biden,65+,Female,Post-grad,White,None
Trump,45-65,Male,2-year,Hispanic,Protestant
Biden,18-29,Female,4-year,White,None
Trump,45-65,Male,Post-grad,Multiracial,Jewish
Trump,18-29,Male,4-year,Hispanic,Protestant
Trump,45-65,Female,Some college,White,Protestant
Biden,65+,Male,4-year,White,Protestant
Biden,65+,Female,4-year,White,Protestant
Trump,45-65,Male,Post-grad,White,Roman Catholic
Biden,65+,Female,Post-grad,White,None
Trump,65+,Male,4-year,White,Protestant
Trump,30-44,Female,2-year,White,Roman Catholic
Biden,65+,Male,Some college,White,Atheist
Biden,45-65,Female,Some college,White,None
Trump,65+,Male,Post-grad,White,Roman Catholic
Trump,65+,Male,2-year,Multiracial,Protestant
Biden,65+,Male,Some college,White,Agnostic
Biden,30-44,Female,2-year,White,Protestant
Biden,30-44,Male,4-year,Asian,Other
Biden,45-65,Female,Some college,White,Protestant
Biden,45-65,Female,High school graduate,Black,Protestant
Trump,65+,Female,2-year,White,Protestant
Biden,30-44,Male,Some college,Black,Protestant
Trump,45-65,Male,High school graduate,White,Roman Catholic
Biden,65+,Male,Post-grad,White,Jewish
Biden,65+,Male,4-year,White,None
Biden,30-44,Male,High school graduate,White,Roman Catholic
Trump,65+,Male,High school graduate,White,None
Biden,30-44,Female,Some college,White,None
Trump,45-65,Female,High school graduate,Native American,Roman Catholic
Trump,65+,Female,Some college,White,Protestant
Biden,18-29,Female,Post-grad,White,None
Biden,45-65,Male,Some college,White,Protestant
Trump,45-65,Male,High school graduate,White,Roman Catholic
Biden,30-44,Male,2-year,White,None
Trump,65+,Male,4-year,White,Protestant
Trump,45-65,Female,High school graduate,White,Roman Catholic
Biden,65+,Female,4-year,White,Agnostic
Trump,45-65,Female,No HS,Multiracial,None
Trump,65+,Male,Post-grad,White,Protestant
Trump,65+,Male,Some college,Hispanic,Protestant
Trump,65+,Male,Some college,White,Protestant
Biden,45-65,Female,4-year,White,Protestant
Trump,45-65,Male,Some college,White,Other
Biden,30-44,Male,Some college,White,Roman Catholic
Biden,65+,Male,4-year,White,Agnostic
Biden,65+,Male,Post-grad,White,Protestant
Trump,65+,Male,4-year,White,Other
Biden,45-65,Female,4-year,Black,Protestant
Biden,45-65,Male,4-year,White,None
Biden,65+,Male,4-year,White,Protestant
Trump,65+,Male,High school graduate,White,Other
